Name,Children,Parents,Role,Flow Behavior,Content Category,Notes,Batch,Ready
Code Editor / Text Area,"Badge,Avatar,Button Inner,Icon,Indicator,Scrollbar,Tag,Chips,Loader",Code Editor,Input,Fill,Object,,4,
Date Picker,,,Toolbar,"Absolute,Fixed",Object,,2,
Dropdown,,,Toolbar,"Fixed,Absolute",Object,,1,checked
Edit Mode / View,"Avatar,Icon,Indicator,Badge,Tag,Loader","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Output,Hug,Object,,5,
Edit Mode / Edit,"Button Inner,Indicator,Icon,Badge,Avatar,Chips,Tag,Label,Loader","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Hug,Object,,5,
Input Text,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Input Date,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Input Search,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Input Number,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Input Color,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,2,
Input Datetime,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Input Email,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Input Password,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Input Time,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Input Telephone,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Input URL,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Logo,,"Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Object,,2,
Multiselect,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,2,
Progress,"Badge,Button Inner,Icon,Indicator,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fill,Object,,2,
Pull to Refresh,"Icon,Button Inner,Loader",,Output,"Fill,Absolute",Object,,7,
Select,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,1,checked
Select Cascade,"Avatar,Badge,Button Inner,Chips,Icon,Indicator,Label,Link,Tag,Loader","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,3,
Slider,"Badge,Icon,Button Inner","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Input,Fill,Object,,2,
Table / TD Text,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader",Table,Output,Fill,Object,,1,checked
Table / TD Link,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader,Link",Table,Output,Fill,Object,,1,checked
Table / TD Boolean,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader",Table,Output,Fill,Object,,2,
Table / TD Tags,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader,Tag",Table,Output,Fill,Object,,2,
Table / TD Actions,Button Inner,Table,Output,Fill,Object,,1,checked
Table / TD Expand,Button Inner,Table,Output,Fill,Object,,1,checked
Table / TD Checkbox,"Checkbox,Toggle",Table,Output,Fill,Object,,1,checked
Table / TD Person,"Badge,Avatar,Button Inner,Icon,Image,Indicator,Loader",Table,Output,Fill,Object,,3,
